Distance_m,Elevation_m,Smoothed_Slope,Is_Knickpoint
0.000,796.607,-0.09484,False
28.158,800.808,-0.09120,False
67.979,805.529,-0.10383,False
96.137,809.960,-0.06046,False
175.779,814.253,-0.06319,False
175.779,814.253,-0.14308,False
203.936,815.749,-0.08111,False
203.936,815.749,-0.09267,False
232.094,819.884,-0.16665,False
232.094,815.749,-0.06154,False
311.736,825.804,-0.03906,False
339.894,827.662,-0.07370,False
379.715,828.344,-0.11615,False
379.715,828.344,-0.11688,False
407.873,832.339,-0.28020,False
407.873,832.339,-0.29943,False
447.694,837.582,-0.04743,False
644.798,857.873,-0.04688,False
684.619,858.433,-0.29390,False
684.619,858.433,-0.21058,False
724.440,861.776,-0.08110,False
752.598,866.662,-0.12483,False
792.419,870.721,-0.15322,False
820.577,873.150,-0.06161,False
940.040,886.144,-0.06116,False
940.040,886.144,-0.23852,False
968.198,887.769,-0.16564,False
968.198,886.144,-0.12340,False
996.355,891.307,-0.30008,False
996.355,891.307,-0.33868,False
1036.176,898.355,-0.11531,False
1120.650,917.806,-0.12868,False
1160.471,923.541,-0.24824,False
1188.628,925.570,-0.12222,False
1268.271,937.018,-0.14754,False
1268.271,937.018,-0.30665,False
1308.092,945.017,-0.09898,False
1364.407,955.084,-0.06416,False
